sample0,sample1,sample2,sample3,sample4
CN(C)c1nc(C(=O)c2cc3ccccc3o2)ncc1F,N#Cc1ccc(CCC(=O)NCC2(c3ccccc3Cl)CCC2)cc1,O=c1ccc(N2CCC3(CC2)COCCN(Cc2ccco2)C3)n[nH]1,CCC(=O)Nc1ccc(C)c(C(=O)N2CCN(N(C)C)CC2)c1,CC(C)NC(=O)NC1CCN(C(=O)c2cccc(Cl)c2)CC1
O=c1[nH]cccc1CCc1cnn2c(=O)c3c([nH]c12)CCC3,O=C1CN(Cc2cc(-c3ccccc3)on2)c2cccc3cccc(c23)N1,CC(C)c1ccc(OC(=O)c2snnc2C2CC2)cc1,NC(=O)c1oc2ccccc2c1NC(=O)c1cc(-n2ccnc2)ncn1,O=C1COCC(NS(=O)(=O)c2cccc(OCC(F)(F)F)c2)N1
O=C(CCc1cccc(F)c1)NC1CCN(c2ccccc2O)C1,CC(C)CCN(CC(F)(F)F)C(=O)Cc1ccsc1,CC(C)c1ncc2c(n1)CN(Cc1nc3c(s1)CCCC3)CC2,CC1CCN(C(=O)NC(C)C(C)C)CC1,Cc1ccn2c(=O)c(C(=O)N3CCOC(c4ccccc4)C3)cnc2c1
COCC(C)OC(=O)c1cccc(Br)c1,Cc1c[nH]nc1CN(C1=NS(=O)(=O)c2ccccc21)S(C)(=O)=O,CC(=O)N1CCNCC1C(=O)C(C)OCC(=O)c1ccccc1O,COCCNC(=O)N1CCN(C(C)c2n[nH]c(C)n2)CC1,CC(C)c1nnc2n1CCN(Cc1nnc(-c3ccc(F)cc3F)o1)C2
CC(C)c1nnc2ccc(CN3CCCC3Nc3ccccn3)nn12,Cc1cc(NC(=O)c2c(C)nc(C3CC3)[nH]c2=O)n(-c2ccccc2)n1,COc1cccc(C(=O)NCCN2CCCC2=O)c1,CCC(C)C(=O)NCCOC(=O)c1ccc2sccc2c1,Cc1ccc(Cl)c(-n2nc(C(CO)(CO)CO)c(=O)cc2C)c1
CN(CC(=O)NCCCc1cccnc1)C(=O)c1cc(Cl)cc(Cl)c1N,CCC(C)Nc1cccc(C(=O)N2CCCCC2)c1,CCNC(=O)c1[nH]c(C)c(CNC(=O)N2CCC(C#N)C2)c1C,COc1ccc(S(=O)(=O)Nc2cnc(C)cn2)cc1,Cc1ccc2cc(C)c(Sc3n[nH]c(=O)n3CCC#N)nc2c1
CCN1CCN(Cc2cccc(Oc3nonc3C)c2)CC1,CCc1cccc(C(=O)N2CCn3nc(CNC(C)=O)cc3C2)c1,COc1cccc(N(C)C(=O)n2ccc3cc(C4CC4)ccc32)c1,CC(C)NC(=O)COc1ccc(Cl)cc1-n1cnnn1,O=C1CCCc2cc(S(=O)(=O)Oc3ccc(F)c(Cl)c3)ccc2N1
Cc1cc2c(cc1C)C(NC(=O)Cc1cscn1)CCO2,Cc1cc(CCC(=O)N(C)c2ccccn2)c(C#N)c(C)n1,CS(=O)(=O)c1ccc(Cc2ccc(O)c3ncccc23)cc1,Cc1nnc(CNCC(C)COc2ccc(F)cc2)s1,CC(O)(CNC(=O)C1CC=CO1)c1ccsc1
O=C(c1cccnc1)c1ccc2nc[nH]c2c1,CC(C)(OC(=O)Nc1ccncc1)c1ccccc1,Cc1nnc(NC(=O)c2ccccc2N2CCNC(=O)C2)s1,Cc1ccc(CNC(=O)Nc2ccc3c(c2)OCO3)cc1,CNC(=O)c1cn(CC(=O)N(C)C)c2ccc(SC)cc12
CCNC(=O)C(CC)NC1(c2ccc(F)cc2)CC1(C)C,CCNC(=O)CC1CCc2sc(-n3cncn3)cc2C1,CCCn1c(C)c(C(=O)Nc2ccc(CC)c(OC)c2OC)c2ccccc21,CN1CCN(C(NC(=O)c2ccnc(-c3ccccc3)c2)C(N)=O)CC1,CCn1cc(NCc2cnc(C(=O)c3ccco3)s2)cn1
O=C(COC(=O)CCCc1ccc2ccccc2n1)NCC(F)(F)F,NC(=O)c1ccccc1OCNC(=O)c1ccc(F)cc1,Nc1ccc(NC(=O)c2cc(-c3ccccc3)on2)c(Cl)c1,Cc1ccc(OCC(=O)NCc2cc3ccc(C)cc3[nH]c2=O)c(C)c1,CC(C)(C)NC(=O)CN1CCN(C(=O)c2cn3ccccc3n2)CC1
CC(=O)c1ccc(N2CC(CNC(=O)c3ccccc3)CC2=O)cc1,O=C(Nc1nc(C(F)(F)F)cs1)c1ccc(SC(F)F)cc1,CC(C(=O)n1ccnc1Cc1cccc(Cl)c1)S(=O)(=O)CC(N)c1cccs1,CCOC(=O)CC(C)CNS(=O)(=O)c1ccc(Cl)cc1Cl,Cc1snc(CC(C)(C)Br)c1Cc1ccncc1
CC(C)c1nc(OCNCc2ccccc2)c(C#N)o1,COc1ccc(F)cc1NC(=O)Nc1cc(-c2ccco2)on1,Cc1ccc(C)c(-c2nc3c(N)cccc3[nH]2)c1,COCCNS(=O)(=O)c1nnc(SCCC(C)C)s1,CC(O)Cc1nnc(NC(=O)C2CCCC2)s1
CCc1cc(CNC(=O)c2ccc3c(c2)[nH]c(=O)n3C)ccn1,COc1ccccc1Cn1cccc(N=C(C)O)c1=O,CC(C)(C)OC(=O)c1nsc(NC(=O)c2ccccc2)n1,CCN1CCc2cc(-c3c(C)n(C)c(=O)n(C)c3=O)ccc21,Cc1cccnc1N1CC(C(=O)c2ccccc2F)CC1=O
O=C(CNCc1ccc(Cl)cc1)NCc1csc(=O)[nH]1,COC(=O)Nc1cccc(C(=O)NC2CCc3cc(F)ccc32)c1,Cc1ccc(NC(=O)c2cccc3cn[nH]c23)c(C(N)=O)n1,Cc1n[nH]c(Cn2ncn3c(cc4ccsc43)c2=O)n1,O=C(Cn1cc(C(F)(F)F)ccc1=O)Nc1nnc(-c2ccccc2)s1
CC(=O)Nc1cn(C(=O)CNC(=O)c2cccc(Cl)c2)cc1C,Cc1ccnc(N2CCCC2CCc2ccccc2C)n1,CCCNC(=O)CNc1ccc(S(=O)(=O)C(F)F)cc1,CC(C)(O)Cc1ccc(NC(=O)NC2CC=CC2)cc1,CNC(=O)CN1C(C)CN(C(=O)c2ccco2)CC1C
CCC(=O)Sc1c(C)nn(-c2ccc(F)cc2)c1C,CC(C)(C)c1ccsc1C(=O)N1CCC2OCCCC2C1,Cc1cc(Sc2ccc(C(=O)N(C)CO)cc2)no1,Cc1ccncc1NC(=O)C1CC(=O)Nc2ccccc21,O=C(CNc1ncccn1)N(CCc1ccco1)c1cc[nH]n1
COc1ccc(C(=O)N(C)Cc2nc(C(C)c3cccnc3)no2)cc1,CCc1noc(COc2ccc3c(c2)S(=O)(=O)C=C3)n1,CC(C)C(C)NC(=O)c1ccc(S(=O)(=O)N=c2cccc[nH]2)cc1,Cc1ccc(-c2cccc(NC(=O)CCC(=O)NC3CCC(C)CC3)c2)nn1,Cc1ccccc1CN(C)C(=O)c1c[nH]nc1-c1sccc1C
O=C(c1ccsc1)c1cc2cccc3c2n1CCO3,COC(=O)Nc1cc(CC(=O)Oc2ccccc2)ccc1C,CN(Cc1ccccc1)C(=O)CNc1cccc(C(=O)c2ccc(=O)[nH]c2)c1,Cc1cc(C(=O)N2C3CCC2CC(O)C3)on1,CC(CS(=O)(=O)NCc1ccccc1F)C1CCCO1
Cc1ccc(CSCC(=O)Nc2c(C)noc2C)c(C)c1,Cc1cc(C(C)C(=O)NCCCc2ccccc2O)ccc1N,COc1ccc(C(=O)CN2CC3CCC(C2)C3OC)c(O)c1C,NC(=O)c1ccc(CN2CCC(Cc3cnc4ccccc4c3)C2)cc1F,COCn1ncc2c(=O)n(CCCCc3cccnc3)cnc21
COc1ccccc1Nc1nc(-c2cc(=O)n(C)c(=O)[nH]2)cs1,CN(C)c1ncc(CCNC(=O)c2cccc(F)c2)cn1,COC(=O)CC(C(=O)c1ccccc1F)C(Cl)(Cl)Cl,CCS(=O)(=O)NC(C)c1ccc(Br)cc1F,CCCNC(=O)CCC(=O)c1nnc(-c2ccc(C)cc2)s1
CCc1noc(CC)c1COc1ccc2[nH]c(C)nc2c1,COc1ccc(C(=O)Oc2cnc3ccnn3c2C)cc1C(C)(C)C,CCCn1ccc2ccc(OC(=O)CCc3nc(C)cc(C)n3)cc21,COC(=O)CN(C(=O)CCC(=O)N(C)C)C1=NS(=O)(=O)c2ccccc21,CC(C)Cc1noc(C(=O)NC2CCN(Cc3ccoc3)C2)n1
CC(C)c1ccc(NCCNS(=O)(=O)C2CCCC2)cc1,CN1C(=O)COc2ccc(C(=O)NCCCOc3ccc(F)cc3)cc21,COC(=O)c1ccccc1NC(=O)CCO,COc1nc2cc(C)c(C)cc2nc1C(=O)N1CCC(c2nc(C)no2)CC1,Cc1csc(NC(=O)NCc2cc3c(C)cccc3[nH]2)n1
CCc1c(-c2ncccc2C#N)cnn(CC)c1=O,COc1ccc(C(=O)n2c(C)nnc2-c2ccc(N)cn2)cc1OC,COC1C2CCC1N(C(=O)c1cccs1)C2,CC(C)OCCCC(=O)NCc1cnn(C)c1,CCOC(=O)CCCNC(=O)Nc1cccc(Cl)c1
COc1cccc(NC(=O)Nc2cccc(F)c2F)c1,O=C(Nc1nnc(CC(F)(F)F)o1)c1cnn(-c2ccccc2)c1,Cc1ccc(-c2nc(CCNC(=O)N3CC(C)OC(C)C3)co2)cc1,CC(O)c1nncn1CCCC(=O)c1cnn(C)c1,CCCC(C)NC(=O)NC(C)C1CCN(C(C)=O)CC1
O=C(CNc1ccccc1)C(=O)c1ccnn1Cc1ccc(F)cc1,Cc1cc2ncc(C#N)c(N3CCN(C(=O)c4ccccc4O)CC3)n2n1,N#Cc1cccc(SCCC(=O)NCCO)c1,N#Cc1ccc(C(=O)N2CCc3[nH]nc(O)c3CC2)cc1,CCCCCC(C)(C)CNc1ncnc(CC(C)C)c1N
Cc1cccc(S(C)(=O)=O)c1NN(C)C(=O)NCc1ccccc1,CC(C)N1CCCC(Nc2ccc(F)c(F)c2)C1=O,Cc1cc(-n2nc3c(cc2=O)CN(C(=O)c2scnc2C)CC3)n(C)n1,CC(NCc1c(-c2ccccc2)noc1C(C)C)=C1N=COC1=O,Cc1cc(CNC(=O)CNc2c(N)cnn2-c2ccc(C#N)cc2)c(C)o1
CCCN(C(=O)NCCCC(=O)c1cccs1)C(C)C,CCC(CCO)NC(=O)NCc1ccc(OC)c(Br)c1,Cc1nc(NC2(c3ccc(Cl)cc3)CCCC2)no1,NC(=O)c1ccc(CN2CCN(c3ccccn3)CC2)cc1,Cc1noc(CNc2ccc(C(=O)N3CCC(OC(C)C)CC3)cn2)n1
CC(C)C(C#N)C(=O)Nc1ccccc1C(F)(F)F,COC(=O)c1c(F)cccc1NCc1ncnn1-c1ccccc1,C=COc1ccc(Cc2c(C)nn(CC)c2C)c(F)c1,Cc1cccc(OCC(=O)Nc2cc(C)nc3c2cnn3C)c1,N#Cc1ccc(CNC(=O)N2CCOC3(CCc4ccccc43)C2)cc1
COC(=O)c1ccccc1NCC(NC(N)=O)c1cccs1,CC(=O)Nc1cccc(CNC(=O)Nc2nc[nH]c2C(C)=O)c1,Cc1ccc2nc(C)c(C(=O)NN3CCOC(C)C3)c(=O)n2c1,Cc1cc(NC(=O)NCc2ccccc2)nc(-n2cnnc2)n1,CC1CCC(OCCNC(=O)c2ccc3c(c2)OCC(=O)N3)CC1
COc1c(F)cc(C(=O)c2cccc(N)n2)cc1Cl,CCc1noc(C)c1-c1cnc(C2CC2)nc1CO,CCc1ccccc1NC(=O)c1nccn1CCCO,O=C(NCc1cccnc1)c1ccnc(NC(=O)c2ccco2)c1,CCN(c1ccc(-c2noc(C(N)=O)n2)cc1)S(=O)(=O)N(C)C
CCN1CCN(S(=O)(=O)C2(c3ccccn3)CCC(C)CC2)CC1,COc1ccc(C(=O)C(C)n2c(C)nc3c(N)cccc32)nc1,COc1ccncc1NC(=O)c1ccc(Cl)c(C#N)c1,Cn1cc(C(C#N)NCc2cccc(C#N)c2)cn1,Cc1cc(NC(=O)C2(NC(=O)NCc3ccco3)CCCC2)sn1
CC(C)c1sc(C#N)cc1Cn1cnc2ccccc2c1=O,Cc1ccc(SCC(=O)c2ccccc2)cc1C,CC(=O)c1cn[nH]c1N1CCCN(C(=O)C2CC2c2ccc(Cl)cc2)CC1,CC(=O)NC1CCc2nc(-c3ccc(C)o3)ncc2C1,Cn1ccc(NC(=O)OCCNC(=O)c2ccc(C(F)(F)F)cc2)n1
Cc1ccc2c(c1)CCN2S(=O)(=O)NC(=O)N(C(C)C)C1CC1,CCc1nc2n(n1)CCCC2Nc1nc(C(C)CC)cs1,O=C(Nc1ccc(Cl)cn1)c1cc2ccccc2o1,CCN(CCNCC12CCCC1CN(C(=O)C1CC1)C2)C(C)(C)C,CCNC(=O)Cc1ccc(NC(=O)c2ccccn2)cc1
CC(NC(=O)c1cc2cc(F)ccc2[nH]1)C(=O)NCCC1CCOCC1,Cc1ccc(F)cc1NC(=O)CNC(=O)NCc1ccc(F)cc1F,COc1ccccc1CNc1ccc(N2CCN(c3ccccc3)CC2)nc1,CC(C)S(=O)(=O)Nc1cccc(-c2cnccn2)c1,CC(C)C(c1ccccc1)S(=O)(=O)c1cccs1
COc1cc(C(=O)Nc2c(C)cc(C)[nH]c2=O)cc(C(F)(F)F)c1C,COc1c(F)ccc(C(=O)Nc2cc(N)ccn2)c1F,COc1cccc(C(O)CNCc2ccc(Cl)cc2F)c1,Cc1nc(C)c(CN2CCN(C(=O)c3ccccc3C(F)(F)F)CC2)s1,Cc1cc(N(c2ccc(Cl)cn2)C(C)C)n2ncnc2c1
Cc1ccc(C(=O)NC(c2ccccc2)C2CCCCC2O)cc1,COc1ccncc1NC(=O)c1cc(N)ccc1Cl,CCC1CCC(C(=O)Nc2cnn(-c3cc(C)on3)c2)CC1,CCC(C)NC(=O)CCOc1ccc(C)c(C)c1,Cc1ccc(NC(=O)CCc2c(C)oc(C)c2-c2ccccn2)nc1
CCNC(=O)C(C(=O)N(C)CC1COc2ccccc2O1)C(C)C,CC(C)(C)C(OCC(=O)Nc1nccnc1C#N)C(F)(F)F,Cc1cnc(SCCOC(=O)C2CC2)s1,CC(=O)Oc1ccc(-n2cnnc2C2CCCC2)cc1,CCN(CC)C(=O)NCC(C)(C)NC(=O)OC
C#CCOC(=O)c1ccc(Cl)c(NC(=O)c2ccccc2)c1,CC(=O)Nc1cc(F)c2c(c1)Cc1cc(F)ccc1-2,Cc1cccc(CNS(=O)(=O)N2CCN(Cc3ccc(F)cc3)CC2)c1,C=CCCS(=O)(=O)Oc1cc(C(=O)c2cccc(F)c2)ccc1C,CN(CC(N)=O)C(=O)C(C)(N)c1cc(Cl)ccc1Cl
CNC(=O)c1nc(Nc2ccc(OC)cc2)c2cnn(C)c2n1,COc1cccc(CNC(=O)Cn2c(C(F)F)nc3ccccc32)c1,CCNC(=O)CNC(=O)c1ccccc1OC,C#CC(Oc1ccc2c(c1)CCCC2)C(=O)C1CCCO1,COc1ccc(F)c(Cl)c1
Cc1nnc(Nc2ccc(Cl)c(Cl)c2)o1,COC(=O)c1c(F)cccc1-c1sccc1C,CCn1nccc1NC(=O)N1CCC(c2ccc(F)c(F)c2)C(O)C1,COC(=O)c1cccc(CNc2cnccc2C#N)c1,CC1COCCN1CC(=O)N1CCn2cccc2C1C
COc1cnn(S(=O)(=O)C2NC(=O)c3ccccc3NC2=O)c1N,CC(CNC(=O)c1nc(CC2CCCC2)no1)C1CCC1,CCCN(Cc1ccc2c(c1)OCO2)C(=O)Cc1ncc(CC)o1,COCCNC(=O)c1ccc(Cl)c(S(=O)(=O)NC#N)c1,Cc1cc(C(=O)Nc2ccc(CC(N)=O)cc2)n(-c2nccn2C)n1
Cc1nc(C(=O)N(C)c2ccc(NC3CCCC3)cc2)no1,CCC1CCCN(C(=O)NCc2cccc(-n3cccn3)c2)C1,CCC(c1ccc(O)cc1)c1c(N)nn(C)c1C,CCNC(=O)Cc1ccc(NC(=O)NC(C)CCC(C)C)cc1,Cc1c(Cl)cnn1CC(=O)NC(C)Cc1ccccc1F
CCN(C(=O)NCC(N)=O)c1c(Cl)cccc1Cl,COC(=O)C(C)N1CCC(NC(=O)COC(=O)c2cccs2)CC1,COc1ccc(C(=O)NCc2scnc2C)c(C)c1,CCN(C)c1ccc(SC(C)C(=O)Nc2ccc(C)cc2)cn1,Cn1c(-c2ccc3c(c2)OCCO3)nc2cc(Cl)ccc21
CCC(CC)C(=O)N1CCCC(C(=O)Oc2ncn[nH]2)C1,Nc1cc(N2CCC3OCCC3(Cc3noc(C4CC4)n3)C2)c2cc[nH]c2n1,NS(=O)(=O)c1cccnc1OC1CCOc2ccccc2C1,CNC(=O)CCn1c(-c2ccccc2F)ccc(N)c1=O,COCn1ccc2ccn(-c3cc(-c4ccccn4)[nH]n3)c(=O)c21
CCC(=O)c1ccc(-c2nnc(NCC3CCOC3)s2)cc1,CC(C)N(Cc1ccc(C(N)=O)cc1)C(=O)c1cccs1,CCCC(=O)N1CCOC(CC(=O)Nc2nc(C(C)C)n[nH]2)C1,Cc1cc(F)ccc1S(=O)(=O)NC(=O)c1c(F)cccc1F,COc1ccc(NC(=O)c2ccc(C)c(C(N)=O)c2)cc1OC
N#Cc1cccnc1OC1CCC(N2CCCOC(CO)C2)CC1,CN(C)c1ccc(CNc2ccc3nnnn3n2)cc1OC(F)F,CN(CC1CC1)C(=O)c1ccn(-c2ccc(F)cc2)n1,O=C(C1CC=CC1)N1CC2CCC1C2n1ccnc1-c1cccnc1,O=C1COc2cc(CCNC(=O)Nc3cnn(-c4ccccc4)c3)ccc2N1
