sample0,sample1,sample2,sample3,sample4
C[C@H](NC(=O)CO)OC(=O)CCc1csc(N2CCCC2)n1,C[C@@H]([NH3+])Nc1cccc(-c2nnc3n2CC[NH+](N2C(=O)c4cccc5cccc(c45)C2=O)CC3)c1,CC(C)CCSc1nnc(N)s1,CC[NH+]1CCN(C(=O)[NH+]2C[C@H](O)C[C@@H]2c2ccc(C)c(F)c2)CC1,Cc1ccc(=O)n([C@@H]2CC[NH+](CC(F)(F)F)C2)n1
COc1ccccc1NC(=O)NN1CCSCC1,CCCc1cc(S(=O)(=O)N2CCN(C)C(=O)C2(C)C)c(C)o1,CC(C)=C(F)C(=O)Oc1ccc(Nc2nnc3n2CCCC3)c(Br)c1,C[C@@H]1Cc2ccccc2[C@H]1C(=O)NC(C)(C)C,CCc1ccsc1C(=O)[NH+]1CCCSCC1
O=C(CCc1oc2ccccc2c1C[C@@H]1CCCO1)Nc1ccccn1,COc1ccnc([C@H]2C(N3CC[C@H]4CCCC[C@@H]43)[C@H](c3cn4cc(Cl)ccc4n3)S(=O)(=O)CS2(=O)=O)n1,COCCCCC(=O)Nc1cccc(C[C@H]2CCc3cc4c(cc32)OCCO4)c1,COc1ccc(F)c(-n2ccc(-c3cccc[nH+]3)n2)c1,Cc1cc(Br)oc1[C@H](C)NC(=O)C[C@@H]1CC=CCC1
COc1cc(Cl)c(O)cc1CN1CCc2sccc2[C@H]1c1ccc([N+](=O)[O-])cc1,Cc1ccc(NC=C2NC(=O)N(Cc3ccccc3C(F)(F)F)C2=O)cc1Nc1ccccc1,CC(C)S(=O)(=O)CC(=O)N(C)[C@@H]1CCCN(N2C(=O)CCC2=O)C1,[NH3+][C@H]1CCN(c2cc[n+](CC(=O)[NH+]3CCC[C@H]3C3CC3)cc2)C1,Cc1cc(C)c(C(=O)N(C)C[C@@H](O)c2nc(CC(F)(F)F)no2)c(C)c1
CN(CCc1ncnc2nc(N)ccc12)C(=O)C(C)(C)C,Cc1c(O)cccc1-c1nc2cccc(Cl)c2s1,N#C[C@@H](C(=O)Nc1nc(-c2ccc3ccccc3c2)no1)c1ccc2ncccc2c1,NC(=O)Nc1nc2ccccn2c(=O)c1CN1C(=O)/C(=C\c2ccccc2)SC1=S,Cc1cncc(C(=O)c2cccn2OC(F)(F)Cl)c1
COC(=O)N1CCN(C[C@H]2C[NH2+]C[C@H](NC(=O)c3cnn(-c4ccccc4F)c3N)C2)CC1,Cc1cc(C(=O)NOc2ncc3ccccn23)n(C(C)C)n1,Cc1nc2cc(CC3CCC(C(=O)Nc4ccccc4C)CC3)ccc2s1,COc1cc(C[C@@H]2[C@H](O)c3ccccc3S(=O)(=O)N2C)cc(Nc2ccccc2)c1,C[C@@H]1CN(Cn2c(=O)cc(-c3cc(F)ccc3F)c3ccccc32)C(C)(C)CO1
Cc1c(CNCCC[NH2+]C(C)C)oc2ccccc12,Cc1cc(C(=O)N2CCOc3c(O)cc(-c4ccccc4)cc3C2)c(C)n1-c1ccc(Cl)c(F)c1,COc1cccc(OC(=O)CC(=O)Nc2ccc(F)cc2)c1,COc1ccc(NC(=O)[C@H]2CCCN2C(=O)c2cc3ccccc3oc2=O)cc1,CC(C)(C)n1nnc2ccccc2c1=O
CCCNC(=O)CN1C[C@@H](OC)[C@H]2[C@H]1C1CC[NH+]2CC1,CC(=O)O[C@@H]([C@@H]1CC[C@@H]2CCCC[C@@H]2C1)[C@H](C)c1ccc(C)cc1,Cc1nnc2n1CCC[C@@H]2CSn1c(C[NH+](C)C)nc2ccccc21,N#CCN(CCCO)c1ccccc1,O=C(Nc1nnn(-c2cccc[nH+]2)c1C1CCCCC1)c1ccco1
COc1ccc(Cl)cc1CO[C@@H](CC(C)C)C(=O)Nc1cccc(F)c1C,Cc1cc(C)c(NC(=O)[C@@H]([NH3+])CC2CCSCC2)c(Cl)c1,Cc1cc([C@@H](C)C(=O)NCc2ccncc2)ccc1Br,CCCC1CCC(O)(C[NH2+]C(C)C)CC1,Nc1cc(CC[NH3+])no1
COC(=O)[C@H]1Cc2ccccc2CN1CC(=O)Nc1ccc(C)c(Cl)c1,CC[C@H](C)[C@H](NC(C)(C)C)C(=O)Nc1ccc(OC)c(-n2cccn2)c1,CSCCN1CCN(C(=O)Nc2ccc(O[C@@H]3C[C@@H]3C)cc2)CC1,CCc1ccc2[nH]cc(OC(=O)C[C@H](C)Nc3ccccc3N)c2c1,CCn1cnnc1NC(=O)C[C@@H]([NH3+])C1CCCCC1
O=C1[C@@H](n2ccnc2)CCCN1[C@@H]1CCC[C@H](c2ccccc2F)C1,Cc1ccc(NCC(=O)/N=C2/NCCS2)c(C)n1,CCCCS(=O)(=O)N(CCNCC(F)(F)F)CS(=O)(=O)C(C)C,CONC(=O)C[C@]1(O)CCc2ccccc2C1,Cc1nnc(N2CCN(CC[C@H]3COc4ccccc4O3)CC2)s1
Cc1cccc(NC(=O)CNC=NNC(=O)C(=O)N2CCN(c3ccc4ncccc4c3)CC2)c1C,O=C(c1nc2c(oc3ccccc32)c(=O)[nH]1)N1CCSCC1,Cc1nn(C)c(C(=O)c2cc(-c3cccs3)nc3c2cnn3C)c1Br,Cc1nn(C)c(NC[C@@]2(c3ccccc3)CCC[C@H](C)C2)c1Cl,CCc1cc(S(=O)(=O)Nc2nc(C)c(C)s2)cc(Br)c1C#N
CCNC(=O)[C@@H]1CN(Cc2cc(C)[nH]n2)C[C@H]1[NH3+],CCc1ccccc1NC(=O)C[NH+]1CCC[C@@H](C2CC([O-])C2)C1,CCC[C@@H]1CCCCN1C(=O)NCc1ccccc1,CCC[C@@H](NC(=O)[C@@H](C)[S@@+]([O-])Cc1[nH+]ccn1C)[C@@H](CC)C[C@@H](C)O,COCc1nc(N)nc(C)c1S[C@H]1CC[C@H](NC(=O)CC(C)C)C1
CCNC(=O)C(C#N)=Cc1cnc2c(c1)NC(=O)CO2,CCc1ncc(C(=O)n2nnnc2N)cn1,CNS(=O)(=O)CC(=O)[C@@H]1COC[C@@H]1C(=O)OCC(=O)[O-],CN1CCc2ccc(NC3=NN=C(c4cc(F)ccc4F)C3)cc2C1=O,Cc1ccc2sc(C(=O)N[C@@H]3[C@@H]4CCO[C@@H]4C3(C)C)nc2c1
CCC[C@]1(C(=O)N2CCSCC2)CCCN(C(=O)C(=O)NN2CCN(C)C(=O)C2=O)C1,COOC,Cc1cc(C2CCN(C(=O)CCCc3cnc[nH]3)CC2)ccc1F,CC1=C(S(=O)(=O)NCc2ccc(C(N)=[NH2+])o2)[C@H](c2ccccc2)n2ncnc2N1,C[C@@H]1CCCCN1[C@@H]1CCC[C@@H](C(=O)CNC=C2C(=O)N(C)C(=O)N(C)C2=O)C1
CSn1c(N)c(C(=O)Nc2cc(C)ccc2C)c2nc3ccccc3nc21,NNC(=O)Cc1ccc(Oc2n[nH]c(=O)c3ccccc23)cc1,CC1(C)CC(=O)c2sc(NC(=O)CN3CCCC[C@@H]3C3([N+](=O)[O-])CCC3)nc2C1,CC(C)NC(=O)c1ccc(O[C@H](C)N2CCN(S(C)(=O)=O)CC2)cc1,CC(C)c1cccc2c1OCC[C@H]2O[C@H]1CO1
Cc1ccc(NC(=O)c2ccncc2)cc1[NH2+]C[C@]1(O)CCC[C@H]1C,COc1ccc(C(=O)N2CCOC[C@H]2CNc2ccc(OC)nn2)cc1,Cc1n[nH]c(-n2nc(CCOc3ccc(CN4C[C@H]5CC=CC[C@@H]5C4)nc3)oc2=O)c1Cc1ccccc1,C=CCNc1ccc(C(=O)Nc2nnc(CC3CCCC3)s2)cc1,COC(C)(C)[C@@H](O)Cc1nc(N2CCCCC2)nc(-n2cncn2)n1
CC/C=N/NC(=O)[C@H](CC)N1CCCC[C@H]1Cc1cc(Cl)cn1C,C[C@@H](CC(=O)NC(=O)NCc1cccc(Br)c1)O[C@H]1CCOC1,Cc1c(C)c(C)c(C(=O)NNC(=S)NNc2ncccc2[O-])c(C)c1C,NNC(=O)Sc1nccn2nc(-c3ccc(-n4cnnn4)cc3)cc12,CC(C)n1nc(NC(=O)c2nc(-c3ncccn3)ncc2Cl)c2ccccc2c1=O
O=C(C[C@H](Cc1ccccc1)C(=O)[O-])C(=O)Nc1ccc(Cl)cc1I,CCN(C)c1ccc(NC(=O)C(C)(C)C)cc1,Cc1nn(C)c2ncc(NC(=O)Oc3csc(-c4ccn(C)c4)c3)cc12,COc1cc(CC(F)(F)C(F)F)cc(-c2c([O-])c3ccccc3oc2=O)c1O,COCC[NH+](C(=O)N[C@H]1CCOC1)c1ccccc1
COC(=O)[C@@H](C)NC(=O)C(C#N)=CN1CCc2c([nH]c3ccccc23)[C@@H]1C,CN(C)S(=O)(=O)c1ccc(C(=O)NC2=CCCC2)s1,Cc1ccnc(N(C)Cc2ccccc2S(=O)(=O)NN)n1,O=C(c1ccn(Cc2ccco2)n1)N1CCCC[C@@H]1C#CCCO,Cc1cc(N[C@H]2CCC[C@H]([NH3+])C2)ccc1Cl
C[NH+](C)[C@H](Cc1ccc(N2CCN(C(=O)c3ccc4scnc4c3)CC2)cc1)c1cccnc1,CN(C(=O)Nc1ccccc1O)c1cc(Cc2nc3ccccc3n2C)ccc1F,C=C(C)[C@@H]([NH2+]c1ccccn1)c1ccc2c(c1)OCCO2,C[C@@H]1c2ccccc2O[C@@H]1CCC(=O)c1c[nH]c2ccccc12,CC(C)C[C@H](C)NC(=O)C(=O)N1CCN([C@@H](C)[C@H](O)c2ccccc2)CC1
CC(C)(C)S(=O)(=O)CNC12CC3CC(CC(C3)C1)C2,Cc1ccc(F)c([C@@H](C)Nc2ccccc2NCc2occc2C)c1,O=C1CC=CC=C(C[C@@H]2CCOC3(CCCC3)C2)C1=O,CC[C@@H](NC(=O)N1CCC(O)(Cc2cccnc2)CC1)c1ccc(C)o1,C[C@@H]([NH3+])C1=C(O)C(=O)CC1(C)C
Cc1sc(-c2ccc(F)cc2)nc1NCCc1csnn1,Cc1cccc(N2CCN(c3scc(C#N)[n+]3N3CCOCC3)CC2)c1,COCc1ccccc1-c1ccoc1,Cn1c(Cl)cnc1CC(=O)N[C@H](C#N)CS[C@H]1CCCc2ccccc21,C[C@H](C(=O)Nc1ccccc1C1[NH+]=c2ccccc2=[NH+]1)c1cc(C(=O)[O-])cn1C
CCSc1ccc(NC(=O)N2CCC2)cn1,C#CCn1cc(S(=O)(=O)[C@@H](C)C(=O)N2CCC[C@@H](C)C2)ccc1=O,Cc1ccc(-c2cc(F)cc(F)c2)c(C2(C[NH+]3CCC4(CC3)C[C@H]4C(=O)NCC(C)C)CCCCCC2)n1,Cc1ccc(CC(=O)Nc2cncc(N3CCc4ccccc4C3)n2)cc1,C[C@@H]1CCN(C(=O)C2=C([O-])C(=O)N(C)[C@@H]2C(=O)Nc2ccccc2)C[C@H]1O
CC1=CC(C)=NC(=O)[C@@H]1[NH+]1CCCC[C@@H]1CN1CCN(C(=O)c2ccccc2)CC1,CCO[C@H](C)[NH2+]CN(C)CC(F)(F)F,Cc1cc(C(=O)N2c3ccccc3NC(=O)C[C@H]2C)sn1,C[C@H](Nc1cccc[nH+]1)Oc1ccc(NCc2ccc(Nc3cnn(C)c3)c(Cl)c2)cc1,O=C(c1c(N2CCCC2)sc2c1CCSC2)N1CC[C@H]1Cc1ccccc1
C[C@H](SCC(=O)c1ccc(C(=O)NCCOc2cccc(F)c2)s1)C(=O)c1ccc2ccccc2n1,CCc1nc(Cl)nc(C(=O)CS(=O)(=O)C(C)(C)C)c1C,COC(=O)c1ccc(NC(=O)Cc2cnc(-c3cncc(C(C)(C)C)n3)s2)cc1,C[C@@H]([C@H]1CCC[NH+]1CC(=O)Nc1nccn1C)N1CCC1,CCC[C@@H](C)C(=O)[C@H](C#N)Oc1ccc(F)c(F)c1
C[C@@H](CNC(=O)C1CCN(CCCC(=O)OCC(=O)[O-])CC1)c1ccccc1,O=C(Oc1cccc(C(=O)N2CCN(c3ccccc3)CC2)c1)c1ccc(NC(=O)[C@@H]2CCC(=O)N2c2ccc(-c3ccccc3)cc2)cc1,O=C([O-])COc1occc1NC(=O)CNS(=O)(=O)c1ccccc1,COC(C)(C)CNC(=O)C(=O)[C@@](C)(N)C(F)(F)F,Cc1ccc(N2CCn3c2nn(CC(=O)NC[C@H]2CC=CCC2)c(=O)c3=O)cc1
Cc1ccc(C(=O)c2c(C)nn(Oc3ccccc3)c2OC(=O)N[C@H](C)c2ccccc2C)cc1,CCc1noc(CC/C(Cl)=C/Cl)n1,Cc1ccccc1NC(=O)C=C1CN(c2cc[nH+]c([C@@H]3CCC[NH+](C)C3)c2)C1,C=CCSC(=O)[C@@H]1CCC(=O)N(c2ccc(-n3ccc4ccccc43)cc2)C1,Nn1c(=O)c2ccccc2n2c(-c3ccc([N-]C4CCCC4)o3)nnc12
CC[C@H](C#N)Cn1c(C)cc(CCS[C@@H]2CC[C@@H](c3ccccc3)C2)c1C,CC(C)(COC(=O)[C@H](Oc1ccc(C#CCO)cc1)c1ccccc1)N1C(=O)c2ccccc2C1=O,COc1ccc2c(c1)c(C=NNC(=O)C[C@@H]1CC[NH2+]C1)c(C)n2C,C[C@H](c1cnccn1)N1CCN(C(=O)Nc2ccccc2NC[C@@H]2CCC[NH2+]2)CC1,COC(=O)/C=N/NC(=O)CCC(=O)NN
COc1ccc2nc(CNC(=S)Nc3ccccc3)c(C)cc2c1,COC(=O)CN[C@H](/C(N)=N/O)c1cnc(C2CCCC2)cn1,CO[C@H](C)c1ccc(N2CCNC2=O)cc1,C[C@@H](SCC(=O)N1CCC(c2cccc(Cl)c2)(C(C)(C)C)C1)C(N)=O,CC[C@@H](C)N[C@@H](C)Cc1nc2ccccn2n1
C=COc1ccc(C[NH+]2CCC(CCOC)CC2)c(F)c1,CC/C(=C/C(C)C)CN1CCC(c2cc(C)n(C)n2)CC1,C=CCN(OCCC)C(=O)C[C@@H](C)C(N)=O,CCO[C@H]1[C@@H](C)[C@@H](c2cccnc2)C1(CC)SN[C@H](C)c1ccccc1,CC[C@H]1C[C@H]1C(=O)N1CCN(C(C)C)CC1
O=S(=O)(c1ccc(-c2ccc(I)o2)cc1)c1ccc2c(c1)OCCCO2,COCc1ccc([C@@H](O)CNC(=O)[C@@H]2CN(c3ncco3)CCO2)cc1,O=C(NCc1ccc(-c2ccccc2F)o1)c1ccc(=O)[nH]c1,COc1ccc(C(=O)N[C@H](CC(F)(F)F)Nc2cc[nH+]cc2)cc1,COc1ccc(I)cc1CNC(=O)CCC(=O)[O-]
CCO[C@H](NC(=O)C1(n2cccn2)CCCCC1)OC(F)F,CCn1c(SCCC(=O)NN)nc2ccsc2c1=O,Cn1cc(N2Cc3nc(N4CCC[C@@H](c5ccc(Cl)cc5)C4)ncc3C2=O)cn1,O[C@]1(c2ccc(Cl)cc2)CN(CCC(F)(F)F)C2=[N+]1CCCS2,Cc1nn(C)c(C)c1[C@H](Br)Cc1cccc(Cl)c1
Cc1ccc(CCCN(C)C(=O)c2cccc(NC(=O)C[C@H]3Sc4ccccc4NC3=O)c2)cc1,COCc1nc2ccccc2n1C(=O)C(C)(C)Cc1nc(Cc2cccc(Cl)c2)no1,COC(=O)c1c(N[C@H]2CCCC[C@@H]2O)sc(C)c1C,CCC(CC)C(=O)N[C@H](C(=O)[O-])c1ccc(O)cc1,COc1cccc(C(=O)Nc2cc(C)nn2C(=O)N2CCOCC2)c1-c1ccccc1
CCOC(=O)[C@@H](F)[C@H](C)NNC(=O)c1cncc(C)c1,N#Cc1cc(N2CCCN(C(=O)C3CC[NH2+]CC3)CC2)no1,COc1cc(NC(=O)NC(=O)C(C)=CCc2ccccc2)cc(Nc2ccccc2)c1,Cc1cc(NC2CCC(O)CC2)n(CC(=O)NC(=S)Nc2ccc(Cl)cc2)n1,CC(C)Cc1ccc(-c2c([O-])n(C)c(=O)n3cnnc23)c2ccccc12
O=[N+]([O-])c1cc2c(cc1Cc1cccc([C@@H](O)Cc3cccs3)c1)CCCC2,CN(C1CCCCC1)[C@H](CC(N)=O)C(=O)c1ccc2c(c1)CCCO2,COOc1cc(NC(=O)SC(F)(F)F)sc1Cc1ccc(F)c(F)c1,C[C@@H](CNC=C(C(=O)N1CCC1)C(=O)N1CCOCC1)CN1CCN(C(C)(C)C)CC1,[NH3+]C[C@H](Cc1ccccc1)Cc1nc([C@H]2OCCc3ccccc32)no1
